rank_date,country_full,total_points,rank
2010-03-31,Croatia,1907.4253923709791,7
2010-03-31,Uruguay,1902.6382842848548,8
2010-03-31,Iraq,1900.1269060299874,9
2010-03-31,Germany,1899.046407297522,10
2010-03-31,Chile,1898.1497004958599,11
2010-03-31,New Zealand,1867.0577364712044,12
2010-03-31,Portugal,1853.9527605372657,13
2010-03-31,Tunisia,1819.0911913200862,14
2010-03-31,Netherlands,1806.7175289333047,15
2010-03-31,Japan,1774.3263168480341,16
2010-03-31,Algeria,1771.8122197617015,17
2010-03-31,Denmark,1751.803866656454,18
2010-03-31,Colombia,1738.5524118385472,19
2010-03-31,Switzerland,1679.38100679174,20
2010-03-31,Belgium,1639.508685448543,21
2010-03-31,Spain,1608.4024999717244,22
2010-03-31,Ecuador,1607.6586578746137,23
2010-03-31,Peru,1598.1723339521616,24
2010-03-31,Canada,1582.3216866604253,25
2010-03-31,Senegal,1575.8468373478686,26
2010-03-31,Australia,1569.6994133724902,27
2010-03-31,Italy,1552.3437348012699,28
2010-03-31,United Arab Emirates,1543.7359781841428,29
2010-03-31,Panama,1446.4798486570319,30
2010-03-31,Brazil,1418.5679243811846,31
2010-03-31,Nigeria,1409.7110173936617,32
2010-03-31,Egypt,1380.3199822135552,33
2010-03-31,South Korea,1379.4169069487843,34
2010-03-31,Saudi Arabia,1365.6286993756362,35
2010-03-31,Jamaica,1350.955468037255,36
2010-03-31,Mali,1321.847536775522,37
2010-03-31,Morocco,1293.9539717439002,38
2010-03-31,Cameroon,1254.4000522884903,39
2010-03-31,Serbia,1226.1497699629615,40
2010-03-31,Argentina,1173.360513951832,41
2010-03-31,Ivory Coast,1165.5234325320696,42
2010-03-31,England,1155.8920685079738,43
2010-03-31,Mexico,1079.4619268974213,44
2010-03-31,Poland,1040.2421121890209,45
2010-03-31,Costa Rica,1037.2108990342763,46
2010-03-31,Ukraine,1023.597457670119,47
2010-03-31,Wales,1018.7849152765807,48
2010-04-30,Qatar,2011.4686678429218,1
2010-04-30,Venezuela,1940.2178596333574,2
2010-04-30,Sweden,1924.1818905892887,3
2010-04-30,France,1924.1667319035462,4
2010-04-30,Iran,1920.908300813264,5
2010-04-30,Croatia,1913.856273343517,6
2010-04-30,Iraq,1910.7398378020353,7
2010-04-30,Uruguay,1902.619343650334,8
2010-04-30,United States,1899.8977432575043,9
2010-04-30,Germany,1894.5094777537615,10
2010-04-30,Chile,1883.389582115077,11
2010-04-30,New Zealand,1865.9173892817716,12
2010-04-30,Portugal,1832.4694468121643,13
2010-04-30,Tunisia,1822.6234465648934,14
2010-04-30,Netherlands,1809.7645214345073,15
2010-04-30,Japan,1768.211274472696,16
2010-04-30,Algeria,1767.6283757039419,17
2010-04-30,Denmark,1745.1040434852061,18
2010-04-30,Colombia,1738.9939049032268,19
2010-04-30,Switzerland,1683.8001487640995,20
2010-04-30,Belgium,1626.0947299563654,21
2010-04-30,Spain,1604.9409252456032,22
2010-04-30,Ecuador,1602.440150872816,23
2010-04-30,Peru,1594.9119948279974,24
2010-04-30,Canada,1574.4921303243907,25
2010-04-30,Senegal,1571.8935888768654,26
2010-04-30,Australia,1569.8950288766532,27
2010-04-30,Italy,1552.9837107556496,28
2010-04-30,United Arab Emirates,1552.6252506294227,29
2010-04-30,Panama,1437.5720872235163,30
2010-04-30,Nigeria,1421.6686188341323,31
2010-04-30,Brazil,1416.4135328601637,32
2010-04-30,Egypt,1397.0644869138193,33
2010-04-30,South Korea,1371.947217218827,34
2010-04-30,Saudi Arabia,1362.1279147519554,35
2010-04-30,Jamaica,1359.8114380610452,36
2010-04-30,Mali,1318.0175631297036,37
2010-04-30,Morocco,1309.2925296441451,38
2010-04-30,Cameroon,1269.8504189268667,39
2010-04-30,Serbia,1221.252126091683,40
2010-04-30,Argentina,1190.2077514826246,41
2010-04-30,Ivory Coast,1172.5209440750882,42
2010-04-30,England,1136.996737118168,43
2010-04-30,Mexico,1066.0760510685232,44
2010-04-30,Costa Rica,1036.3821684162194,45
2010-04-30,Poland,1022.4137694242046,46
2010-04-30,Ukraine,1012.5216097206211,47
2010-04-30,Wales,1000.0940602367668,48
2010-05-31,Qatar,2001.3028926444188,1
2010-05-31,Sweden,1948.1479211793178,2
2010-05-31,France,1941.2484331173494,3
2010-05-31,Venezuela,1934.107425334989,4
2010-05-31,Iran,1923.6944010511684,5
2010-05-31,Iraq,1919.7305153781563,6
2010-05-31,United States,1916.4460586975465,7
2010-05-31,Uruguay,1900.5860777122207,8
2010-05-31,Chile,1898.4400106580329,9
2010-05-31,Germany,1893.7956066355816,10
2010-05-31,Croatia,1892.8421289590797,11
2010-05-31,New Zealand,1866.2589096648067,12
2010-05-31,Portugal,1822.5388873883805,13
2010-05-31,Tunisia,1808.5428309074775,14
2010-05-31,Netherlands,1807.8465137030785,15
2010-05-31,Japan,1769.3807936551525,16
2010-05-31,Algeria,1766.0911191230757,17
2010-05-31,Denmark,1743.4350783335485,18
2010-05-31,Colombia,1734.1902844113717,19
2010-05-31,Switzerland,1684.988683404724,20
2010-05-31,Belgium,1621.1234468793486,21
2010-05-31,Ecuador,1600.859125989394,22
2010-05-31,Spain,1596.9074235287637,23
2010-05-31,Peru,1594.911802772151,24
2010-05-31,Senegal,1572.5599376400316,25
2010-05-31,Canada,1571.3008365513624,26
2010-05-31,Italy,1567.704583010258,27
2010-05-31,Australia,1547.777688679842,28
2010-05-31,United Arab Emirates,1535.5986451021988,29
2010-05-31,Panama,1440.6223060357015,30
2010-05-31,Brazil,1430.529481876814,31
2010-05-31,Nigeria,1415.4478532782778,32
2010-05-31,South Korea,1401.97233797288,33
2010-05-31,Egypt,1392.8049939813811,34
2010-05-31,Jamaica,1355.1259529806787,35
2010-05-31,Saudi Arabia,1354.6214561788943,36
2010-05-31,Mali,1323.4382461508262,37
2010-05-31,Morocco,1307.607240313092,38
2010-05-31,Cameroon,1275.9868640636373,39
2010-05-31,Serbia,1211.3019368004614,40
2010-05-31,Argentina,1188.335078021156,41
2010-05-31,Ivory Coast,1161.5716495519828,42
2010-05-31,England,1121.464292712979,43
2010-05-31,Mexico,1065.2718341573006,44
2010-05-31,Costa Rica,1025.2174380558758,45
2010-05-31,Poland,1018.4731199479769,46
2010-05-31,Ukraine,1006.0098663194572,47
2010-05-31,Wales,1005.612861295365,48
2010-06-30,Qatar,2004.6823526586672,1
2010-06-30,Sweden,1956.0682448570847,2
2010-06-30,France,1949.8208984775313,3
2010-06-30,Iran,1927.8868465491835,4
2010-06-30,United States,1925.8042456893247,5
2010-06-30,Iraq,1920.4570010281097,6
2010-06-30,Venezuela,1915.6765942630846,7
2010-06-30,Croatia,1911.4320366390104,8
2010-06-30,Uruguay,1903.9216857406882,9
2010-06-30,Germany,1896.1612945508907,10
2010-06-30,Chile,1891.5022423994724,11
2010-06-30,New Zealand,1864.0149725580613,12
2010-06-30,Tunisia,1826.330468407086,13
2010-06-30,Portugal,1821.7522187245395,14
2010-06-30,Netherlands,1819.8622755372364,15
2010-06-30,Algeria,1776.6412837205223,16
2010-06-30,Japan,1763.1954165143827,17
2010-06-30,Colombia,1747.6073253704237,18
2010-06-30,Denmark,1745.3406866145922,19
2010-06-30,Switzerland,1687.7843126275527,20
2010-06-30,Belgium,1628.1179329529696,21
2010-06-30,Spain,1612.3489869749355,22
2010-06-30,Ecuador,1599.212627892607,23
2010-06-30,Peru,1591.7248406353438,24
2010-06-30,Canada,1574.8060029989003,25
2010-06-30,Senegal,1564.1471406137123,26
2010-06-30,Italy,1553.7659878493764,27
2010-06-30,Australia,1549.6637512149289,28
2010-06-30,United Arab Emirates,1534.2620384334632,29
2010-06-30,Panama,1449.9393992411747,30
2010-06-30,Brazil,1438.1446494729848,31
2010-06-30,Nigeria,1419.8789655930207,32
2010-06-30,South Korea,1405.535027812402,33
2010-06-30,Egypt,1377.545776731612,34
2010-06-30,Saudi Arabia,1367.206894082169,35
2010-06-30,Jamaica,1347.7419699929203,36
2010-06-30,Mali,1310.5162236764559,37
2010-06-30,Morocco,1309.670476799484,38
2010-06-30,Cameroon,1281.7235945931034,39
2010-06-30,Serbia,1207.0449083389894,40
2010-06-30,Argentina,1187.8120786995626,41
2010-06-30,Ivory Coast,1153.560280713884,42
2010-06-30,England,1118.2382390049277,43
2010-06-30,Mexico,1072.0314408211302,44
2010-06-30,Poland,1012.6388919841593,45
2010-06-30,Ukraine,1007.82902152594,46
2010-06-30,Costa Rica,1007.1966147856414,47
2010-06-30,Wales,1004.4055153240613,48
2010-07-31,Qatar,2000.2673717270384,1
2010-07-31,France,1954.2960544662242,2
2010-07-31,Sweden,1948.4660671322624,3
2010-07-31,United States,1931.5613087480876,4
2010-07-31,Croatia,1931.0391251927028,5
2010-07-31,Venezuela,1925.1593674366463,6
2010-07-31,Iraq,1919.3577049342182,7
2010-07-31,Iran,1919.0794680543609,8
2010-07-31,Chile,1897.9423352411532,9
2010-07-31,Uruguay,1896.9359257845847,10
2010-07-31,Germany,1889.9609292873554,11
2010-07-31,New Zealand,1874.613504831072,12
2010-07-31,Tunisia,1820.233105692331,13
2010-07-31,Portugal,1819.703919488503,14
2010-07-31,Netherlands,1815.3529000654146,15
2010-07-31,Algeria,1782.2902065479093,16
2010-07-31,Denmark,1762.1025414779144,17
2010-07-31,Japan,1754.4614164411541,18
2010-07-31,Colombia,1751.7540406738467,19
2010-07-31,Switzerland,1684.0619035021793,20
2010-07-31,Belgium,1637.3917190257189,21
2010-07-31,Spain,1607.8921204197125,22
2010-07-31,Peru,1589.622126120653,23
2010-07-31,Ecuador,1582.2133764783296,24
2010-07-31,Canada,1574.7229549876415,25
2010-07-31,Senegal,1568.633110622501,26
2010-07-31,Australia,1559.09429748809,27
2010-07-31,Italy,1552.4548128691135,28
2010-07-31,United Arab Emirates,1536.623500761487,29
2010-07-31,Brazil,1454.0116877408238,30
2010-07-31,Panama,1452.2603785746924,31
2010-07-31,South Korea,1403.5763577216549,32
2010-07-31,Nigeria,1400.0820442002082,33
2010-07-31,Egypt,1389.2343220047928,34
2010-07-31,Saudi Arabia,1355.0370345881747,35
2010-07-31,Jamaica,1338.7625199593188,36
2010-07-31,Morocco,1307.235155922329,37
2010-07-31,Mali,1304.7480410798591,38
2010-07-31,Cameroon,1281.7143785601443,39
2010-07-31,Serbia,1211.896519342882,40
2010-07-31,Argentina,1174.6762080198378,41
2010-07-31,Ivory Coast,1157.790364263548,42
2010-07-31,England,1113.876419205217,43
2010-07-31,Mexico,1057.5593926357726,44
2010-07-31,Ukraine,1012.3017091477736,45
2010-07-31,Poland,1010.8932166923169,46
2010-07-31,Costa Rica,1006.5489791012066,47
2010-07-31,Wales,1000.856637668571,48
2010-08-31,Qatar,2012.4858157162882,1
2010-08-31,Sweden,1951.6096220492518,2
2010-08-31,France,1947.4117218629435,3
2010-08-31,Croatia,1934.8955237484115,4
2010-08-31,Iran,1929.3572273757263,5
2010-08-31,United States,1925.3733559648947,6
2010-08-31,Iraq,1907.7481745927053,7
2010-08-31,Venezuela,1902.4172104213362,8
2010-08-31,Chile,1892.8223358014898,9
2010-08-31,Germany,1883.2107589344619,10
2010-08-31,Uruguay,1878.341589592398,11
2010-08-31,New Zealand,1860.3066132554957,12
2010-08-31,Tunisia,1828.0933909087173,13
2010-08-31,Netherlands,1814.5660551988155,14
2010-08-31,Portugal,1811.4038048644081,15
2010-08-31,Algeria,1781.509793679383,16
2010-08-31,Denmark,1766.8390651779177,17
2010-08-31,Colombia,1764.5509319687424,18
2010-08-31,Japan,1763.4307900183453,19
2010-08-31,Switzerland,1674.4280005387232,20
2010-08-31,Belgium,1649.236031788025,21
2010-08-31,Spain,1613.8694731026956,22
2010-08-31,Peru,1587.0948259209733,23
2010-08-31,Ecuador,1573.1813876137214,24
2010-08-31,Senegal,1570.3579578015544,25
2010-08-31,Canada,1567.5802523464595,26
2010-08-31,Italy,1565.4440156753462,27
2010-08-31,United Arab Emirates,1545.0555615783826,28
2010-08-31,Australia,1544.5144989976777,29
2010-08-31,Brazil,1450.254954122445,30
2010-08-31,Panama,1445.8663268385194,31
2010-08-31,South Korea,1430.683171384642,32
2010-08-31,Egypt,1396.2290083366174,33
2010-08-31,Nigeria,1386.5348201568572,34
2010-08-31,Saudi Arabia,1360.3499152710501,35
2010-08-31,Jamaica,1343.661567378139,36
2010-08-31,Morocco,1307.762371064992,37
2010-08-31,Mali,1302.7169899317137,38
2010-08-31,Cameroon,1266.345829195022,39
2010-08-31,Serbia,1202.2093885549389,40
2010-08-31,Argentina,1176.9377850512706,41
2010-08-31,Ivory Coast,1160.1580696615079,42
2010-08-31,England,1110.063293241505,43
2010-08-31,Mexico,1047.3529389409405,44
2010-08-31,Poland,1027.0186908957207,45
2010-08-31,Costa Rica,1017.783938876437,46
2010-08-31,Wales,999.7115705582027,47
2010-08-31,Ukraine,998.8435999374777,48
2010-09-30,Qatar,2029.0005235367082,1
2010-09-30,Sweden,1977.2442733708788,2
2010-09-30,Croatia,1949.2554763403039,3
2010-09-30,France,1947.780049948925,4
2010-09-30,United States,1932.3323507287453,5
2010-09-30,Iran,1915.5677627158718,6
2010-09-30,Venezuela,1909.2605669057807,7
2010-09-30,Iraq,1905.0612665507006,8
2010-09-30,Chile,1895.6147030082275,9
2010-09-30,Uruguay,1887.0487410279568,10
2010-09-30,Germany,1874.85937396745,11
2010-09-30,New Zealand,1872.1583769172225,12
2010-09-30,Tunisia,1824.4956187534767,13
2010-09-30,Portugal,1815.8386795456372,14
2010-09-30,Netherlands,1806.8137425094267,15
2010-09-30,Colombia,1772.3499876225562,16
2010-09-30,Algeria,1762.1524501507563,17
2010-09-30,Denmark,1761.7382702079499,18
2010-09-30,Japan,1760.2206333170054,19
2010-09-30,Switzerland,1665.6715729239684,20
2010-09-30,Belgium,1644.650530007187,21
2010-09-30,Spain,1612.2396289936846,22
2010-09-30,Peru,1592.7815558692564,23
2010-09-30,Senegal,1576.5120059484423,24
2010-09-30,Canada,1571.8723313343803,25
2010-09-30,Ecuador,1569.1320607742723,26
2010-09-30,Italy,1568.5704051590162,27
2010-09-30,United Arab Emirates,1551.4261565042473,28
2010-09-30,Australia,1538.4707505320619,29
2010-09-30,Brazil,1462.3753344434854,30
2010-09-30,Panama,1443.0256023303164,31
2010-09-30,South Korea,1435.9766721821784,32
2010-09-30,Egypt,1407.2668456815315,33
2010-09-30,Nigeria,1385.9736920671962,34
2010-09-30,Saudi Arabia,1368.0089979956913,35
2010-09-30,Jamaica,1335.2461399881058,36
2010-09-30,Morocco,1314.2231015456387,37
2010-09-30,Mali,1281.3550600601063,38
2010-09-30,Cameroon,1268.1790414790687,39
2010-09-30,Serbia,1210.5200901483934,40
2010-09-30,Argentina,1175.1721447409248,41
2010-09-30,Ivory Coast,1161.2581437217536,42
2010-09-30,England,1094.2605305957663,43
2010-09-30,Mexico,1050.8534341351672,44
2010-09-30,Costa Rica,1027.9537236737337,45
2010-09-30,Poland,1019.3354331289436,46
2010-09-30,Ukraine,1006.1300357791176,47
2010-09-30,Wales,963.860864479826,48
2010-10-31,Qatar,2021.9744500085612,1
2010-10-31,Sweden,1983.5140023254044,2
2010-10-31,Croatia,1951.088892327718,3
2010-10-31,United States,1934.7527631789096,4
2010-10-31,France,1934.379854937264,5
2010-10-31,Venezuela,1912.9429038331098,6
2010-10-31,Iran,1908.0777227031924,7
2010-10-31,Chile,1907.804099202288,8
2010-10-31,Iraq,1904.8328883094741,9
2010-10-31,Uruguay,1902.5545140568088,10
2010-10-31,Germany,1884.3607951769316,11
2010-10-31,New Zealand,1869.9308862596463,12
2010-10-31,Tunisia,1833.5107835457457,13
2010-10-31,Portugal,1808.6386637460978,14
2010-10-31,Netherlands,1807.1426632810212,15
2010-10-31,Algeria,1755.3712578639656,16
2010-10-31,Colombia,1754.1160268515946,17
2010-10-31,Denmark,1753.6970477356474,18
2010-10-31,Japan,1753.656194599184,19
2010-10-31,Switzerland,1666.3102972395468,20
2010-10-31,Belgium,1650.2732076797288,21
2010-10-31,Spain,1621.8030034604915,22
2010-10-31,Peru,1593.4106620718803,23
2010-10-31,Senegal,1578.0885529259465,24
2010-10-31,Canada,1569.5195399749057,25
2010-10-31,Ecuador,1561.5645113637274,26
2010-10-31,Italy,1554.9486543651135,27
2010-10-31,Australia,1544.5759063070177,28
2010-10-31,United Arab Emirates,1536.1277993957035,29
2010-10-31,Brazil,1462.2120907254127,30
2010-10-31,South Korea,1449.0970995292328,31
2010-10-31,Panama,1439.2045858023798,32
2010-10-31,Egypt,1407.6647213047097,33
2010-10-31,Nigeria,1386.1548048178763,34
2010-10-31,Saudi Arabia,1370.7897937560112,35
2010-10-31,Jamaica,1329.456028467659,36
2010-10-31,Morocco,1292.0117225826268,37
2010-10-31,Mali,1269.4250149843338,38
2010-10-31,Cameroon,1258.4819475029708,39
2010-10-31,Serbia,1205.664658719504,40
2010-10-31,Argentina,1177.5119927146388,41
2010-10-31,Ivory Coast,1174.8418916127484,42
2010-10-31,England,1083.9630924493931,43
2010-10-31,Mexico,1051.9052220116507,44
2010-10-31,Costa Rica,1029.2596740523759,45
2010-10-31,Poland,1018.6002352877481,46
2010-10-31,Ukraine,1000.9354958231999,47
2010-10-31,Wales,943.6139335007445,48
2010-11-30,Qatar,2010.772440582828,1
2010-11-30,Sweden,1992.1037339636696,2
2010-11-30,Croatia,1964.6547119069894,3
2010-11-30,United States,1929.6304124510048,4
2010-11-30,France,1927.507609120615,5
2010-11-30,Venezuela,1925.7602172261502,6
2010-11-30,Chile,1916.4754900435223,7
2010-11-30,Iran,1915.1826381185808,8
2010-11-30,Iraq,1906.5389660761773,9
2010-11-30,Uruguay,1904.081193173522,10
2010-11-30,New Zealand,1876.573183107593,11
2010-11-30,Germany,1868.9440699181002,12
2010-11-30,Tunisia,1838.6995339311736,13
2010-11-30,Portugal,1808.529036457728,14
2010-11-30,Netherlands,1799.5698391527992,15
2010-11-30,Denmark,1766.4077878303308,16
2010-11-30,Colombia,1756.8293953332256,17
2010-11-30,Algeria,1751.6127292000576,18
2010-11-30,Japan,1746.2440462092854,19
2010-11-30,Switzerland,1668.6135865228161,20
2010-11-30,Belgium,1634.4192684274872,21
2010-11-30,Spain,1613.799596681706,22
2010-11-30,Peru,1594.2870237646289,23
2010-11-30,Senegal,1572.4830079530639,24
2010-11-30,Ecuador,1570.00262528978,25
2010-11-30,Canada,1551.2920222963664,26
2010-11-30,Italy,1545.9899412757509,27
2010-11-30,Australia,1542.6623046211828,28
2010-11-30,United Arab Emirates,1519.9195296402524,29
2010-11-30,Brazil,1475.3121887842085,30
2010-11-30,Panama,1445.0385475895848,31
2010-11-30,South Korea,1436.563260344205,32
2010-11-30,Egypt,1406.485777086034,33
2010-11-30,Nigeria,1388.4828767348502,34
2010-11-30,Saudi Arabia,1370.8051268508666,35
2010-11-30,Jamaica,1325.932587653895,36
2010-11-30,Morocco,1306.8228471231096,37
2010-11-30,Mali,1289.5861732555306,38
2010-11-30,Cameroon,1266.0024414190393,39
2010-11-30,Serbia,1216.5276017943731,40
2010-11-30,Ivory Coast,1169.811670494355,41
2010-11-30,Argentina,1163.1572463408882,42
2010-11-30,England,1088.3042071405564,43
2010-11-30,Mexico,1044.9312899872682,44
2010-11-30,Costa Rica,1029.7951467853864,45
2010-11-30,Poland,1018.6290468323524,46
2010-11-30,Ukraine,1011.794458651782,47
2010-11-30,Wales,954.798589465182,48
2010-12-31,Qatar,2009.712292604187,1
2010-12-31,Sweden,1983.796990060612,2
2010-12-31,Croatia,1966.816881102642,3
2010-12-31,United States,1948.5570352253683,4
2010-12-31,Venezuela,1930.0193914018598,5
2010-12-31,Chile,1924.1696783055029,6
2010-12-31,France,1919.1551333736575,7
2010-12-31,Iran,1916.9911759725755,8
2010-12-31,Iraq,1913.9917329521215,9
2010-12-31,Uruguay,1893.235911602421,10
2010-12-31,New Zealand,1890.554770711074,11
2010-12-31,Germany,1851.211791350141,12
2010-12-31,Tunisia,1831.4476829557439,13
2010-12-31,Portugal,1801.9605102526677,14
2010-12-31,Netherlands,1781.699043591813,15
2010-12-31,Denmark,1771.5720041620152,16
2010-12-31,Algeria,1762.7321362665275,17
2010-12-31,Japan,1750.689594607126,18
2010-12-31,Colombia,1745.3674613574399,19
2010-12-31,Switzerland,1676.2285402513173,20
2010-12-31,Belgium,1625.7571135782514,21
2010-12-31,Spain,1623.7011654758255,22
2010-12-31,Peru,1587.0435936412728,23
2010-12-31,Senegal,1571.9089851201484,24
2010-12-31,Ecuador,1563.4278370994252,25
2010-12-31,Australia,1546.6085059549248,26
2010-12-31,Canada,1540.24233576839,27
2010-12-31,Italy,1536.2108524655403,28
2010-12-31,United Arab Emirates,1512.9463984529525,29
2010-12-31,Brazil,1468.659225724864,30
2010-12-31,Panama,1456.071830839069,31
2010-12-31,South Korea,1445.4924229268638,32
2010-12-31,Egypt,1408.5375354266084,33
2010-12-31,Nigeria,1377.6455994148819,34
2010-12-31,Saudi Arabia,1369.7775930145833,35
2010-12-31,Morocco,1308.0347566784485,36
2010-12-31,Jamaica,1307.0060071171906,37
2010-12-31,Mali,1281.5651054139016,38
2010-12-31,Cameroon,1256.9468543909243,39
2010-12-31,Serbia,1224.7131631673383,40
2010-12-31,Argentina,1167.1656924423921,41
2010-12-31,Ivory Coast,1164.3299186995716,42
2010-12-31,England,1070.976633102862,43
2010-12-31,Mexico,1052.1509408098493,44
2010-12-31,Costa Rica,1036.119217108862,45
2010-12-31,Poland,1018.7441908139152,46
2010-12-31,Ukraine,1016.0801548763649,47
2010-12-31,Wales,957.652278130067,48
2011-01-31,Qatar,2009.243107943056,1
2011-01-31,Croatia,1970.559270197065,2
2011-01-31,United States,1965.2957708800122,3
2011-01-31,Sweden,1964.157296981381,4
2011-01-31,Chile,1938.720110869378,5
2011-01-31,Venezuela,1930.8592006913213,6
2011-01-31,France,1928.5714995633564,7
2011-01-31,Iraq,1916.2428835465341,8
2011-01-31,Iran,1912.723976185077,9
2011-01-31,New Zealand,1903.5812214050306,10
2011-01-31,Uruguay,1891.8170268082752,11
2011-01-31,Germany,1842.1545243379524,12
2011-01-31,Tunisia,1838.0183271596475,13
2011-01-31,Portugal,1798.788062263809,14
2011-01-31,Netherlands,1786.9027408712323,15
2011-01-31,Algeria,1772.0882501001583,16
2011-01-31,Japan,1763.9598001631077,17
2011-01-31,Denmark,1758.3498439026228,18
2011-01-31,Colombia,1735.7306585134065,19
2011-01-31,Switzerland,1663.2295745786373,20
2011-01-31,Belgium,1632.337873759771,21
2011-01-31,Spain,1618.6764914009898,22
2011-01-31,Senegal,1587.0899539657705,23
2011-01-31,Peru,1571.6670974195076,24
2011-01-31,Ecuador,1570.8650894215764,25
2011-01-31,Australia,1539.083029508198,26
2011-01-31,Italy,1533.9927746899978,27
2011-01-31,Canada,1533.5623846221795,28
2011-01-31,United Arab Emirates,1524.0135607132163,29
2011-01-31,Brazil,1476.3291566181904,30
2011-01-31,Panama,1452.6639797343519,31
2011-01-31,South Korea,1444.5292998180732,32
2011-01-31,Egypt,1399.714093355685,33
2011-01-31,Saudi Arabia,1374.75119814163,34
2011-01-31,Nigeria,1369.4246363636498,35
